Date,Day,Simple Cluster,Cluster,Open,High,Low,Close,O - C (D),O - H (D),O - L (D),C - O (D-1)
1/1/18,Monday,Crash,Flat-Crash,10531.7,10537.85,10423.1,10435.55,-0.91,0.06,-1.03,
2/1/18,Tuesday,Crash,Crash-Rally-Crash,10477.55,10495.2,10404.65,10442.2,-0.34,0.17,-0.70,0.40
3/1/18,Wednesday,Crash,Rally-Crash,10482.65,10503.6,10429.55,10443.2,-0.38,0.20,-0.51,0.39
4/1/18,Thursday,Rally,Rally,10469.4,10513,10441.45,10504.8,0.34,0.42,-0.27,0.25
5/1/18,Friday,Rally,Rally-Crash-Rally,10534.25,10566.1,10520.1,10558.85,0.23,0.30,-0.13,0.28
8/1/18,Monday,Rally,Rally-Crash-Rally,10591.7,10631.2,10588.55,10623.6,0.30,0.37,-0.03,0.31
9/1/18,Tuesday,Rally,Rally-Crash-Rally,10645.1,10659.15,10603.6,10637,-0.08,0.13,-0.39,0.20
10/1/18,Wednesday,Crash-Rally,Crash-Rally,10652.05,10655.5,10592.7,10632.2,-0.19,0.03,-0.56,0.14
11/1/18,Thursday,Rally,Rally,10637.05,10664.6,10612.35,10651.2,0.13,0.26,-0.23,0.05
12/1/18,Friday,Crash-Rally,Crash-Rally,10682.55,10690.4,10597.1,10681.25,-0.01,0.07,-0.80,0.29
15/1/18,Monday,Rally,Rally-Crash,10718.5,10782.65,10713.8,10741.55,0.22,0.60,-0.04,0.35
16/1/18,Tuesday,Crash,Crash,10761.5,10762.35,10687.85,10700.45,-0.57,0.01,-0.68,0.19
17/1/18,Wednesday,Rally,Rally,10702.45,10803,10666.75,10788.55,0.80,0.94,-0.33,0.02
18/1/18,Thursday,Crash,Flat-Crash,10873.4,10887.5,10782.4,10817,-0.52,0.13,-0.84,0.79
19/1/18,Friday,Rally,Rally,10829.2,10906.85,10793.9,10894.7,0.60,0.72,-0.33,0.11
22/1/18,Monday,Rally,Rally,10883.2,10975.1,10881.4,10966.2,0.76,0.84,-0.02,-0.11
23/1/18,Tuesday,Rally,Rally,10997.4,11092.9,10994.55,11083.7,0.78,0.87,-0.03,0.28
24/1/18,Wednesday,Choppy,Choppy,11069.35,11110.1,11046.15,11086,0.15,0.37,-0.21,-0.13
25/1/18,Thursday,Crash-Rally,Crash-Rally,11095.6,11095.6,11009.2,11069.65,-0.23,0.00,-0.78,0.09
29/1/18,Monday,Rally-Crash,Rally-Crash,11079.35,11171.55,11075.95,11130.4,0.46,0.83,-0.03,0.09
30/1/18,Tuesday,Crash,Crash-Flat,11120.85,11121.1,11033.9,11049.65,-0.64,0.00,-0.78,-0.09
31/1/18,Wednesday,Crash,Crash,11018.8,11058.5,10979.3,11027.7,0.08,0.36,-0.36,-0.28
1/2/18,Thursday,Crash-Rally,Crash-Rally,11044.55,11117.35,10878.8,11016.9,-0.25,0.66,-1.50,0.15
2/2/18,Friday,Crash,Crash,10938.2,10954.95,10736.1,10760.6,-1.62,0.15,-1.85,-0.71
5/2/18,Monday,Rally,Rally,10604.3,10702.75,10586.8,10666.55,0.59,0.93,-0.17,-1.45
6/2/18,Tuesday,Rally,Rally,10295.15,10594.15,10276.3,10498.25,1.97,2.90,-0.18,-3.48
7/2/18,Wednesday,Crash,Crash,10607.2,10614,10446.4,10476.7,-1.23,0.06,-1.52,1.04
8/2/18,Thursday,Rally,Rally,10518.5,10637.8,10479.55,10576.85,0.55,1.13,-0.37,0.40
9/2/18,Friday,Rally,Rally,10416.5,10480.2,10398.2,10454.95,0.37,0.61,-0.18,-1.52
12/2/18,Monday,Rally,Rally,10518.2,10555.5,10485.4,10539.75,0.20,0.35,-0.31,0.60
14/2/18,Wednesday,Crash,Flat-Crash,10585.75,10590.55,10456.65,10500.9,-0.80,0.05,-1.22,0.44
15/2/18,Thursday,Rally-Crash,Rally-Crash,10537.9,10618.1,10511.05,10545.5,0.07,0.76,-0.25,0.35
16/2/18,Friday,Crash,Crash,10596.2,10612.9,10434.05,10452.3,-1.36,0.16,-1.53,0.48
19/2/18,Monday,Crash,Crash,10488.9,10489.35,10302.75,10378.4,-1.05,0.00,-1.77,0.35
20/2/18,Tuesday,Choppy,Choppy,10391,10429.35,10347.65,10360.4,-0.29,0.37,-0.42,0.12
21/2/18,Wednesday,Choppy,Choppy,10426,10426.1,10349.6,10397.45,-0.27,0.00,-0.73,0.63
22/2/18,Thursday,Choppy,Choppy,10354.35,10397.55,10340.65,10382.7,0.27,0.42,-0.13,-0.41
23/2/18,Friday,Rally,Rally,10408.1,10499.1,10396.65,10491.05,0.80,0.87,-0.11,0.24
26/2/18,Monday,Rally,Rally,10526.55,10592.95,10520.2,10582.6,0.53,0.63,-0.06,0.34
27/2/18,Tuesday,Crash,Crash-Flat,10615.2,10631.65,10537.25,10554.3,-0.57,0.15,-0.73,0.31
28/2/18,Wednesday,Rally,Rally,10488.95,10535.5,10461.55,10492.85,0.04,0.44,-0.26,-0.62
1/3/18,Thursday,Crash,Crash,10479.95,10525.5,10447.15,10458.35,-0.21,0.43,-0.31,-0.12
5/3/18,Monday,Crash-Rally,Crash-Rally,10428.3,10428.7,10323.9,10358.85,-0.67,0.00,-1.00,-0.29
6/3/18,Tuesday,Crash,Flat-Crash,10420.5,10441.35,10215.9,10249.25,-1.64,0.20,-1.96,0.60
7/3/18,Wednesday,Crash,Crash,10232.95,10243.35,10141.55,10154.2,-0.77,0.10,-0.89,-0.16
8/3/18,Thursday,Crash-Rally,Crash-Rally,10216.25,10270.35,10146.4,10242.65,0.26,0.53,-0.68,0.61
9/3/18,Friday,Rally-Crash,Rally-Crash,10271.3,10296.7,10211.9,10226.85,-0.43,0.25,-0.58,0.28
12/3/18,Monday,Rally,Rally,10301.6,10433.65,10295.45,10421.4,1.16,1.28,-0.06,0.73
13/3/18,Tuesday,Rally-Crash,Rally-Crash,10389.5,10478.6,10377.85,10426.85,0.36,0.86,-0.11,-0.31
14/3/18,Wednesday,Crash-Rally,Crash-Rally,10393.05,10420.35,10336.3,10410.9,0.17,0.26,-0.55,-0.32
15/3/18,Thursday,Crash,Crash,10405.45,10420,10346.2,10360.15,-0.44,0.14,-0.57,-0.05
16/3/18,Friday,Crash,Crash,10345.15,10346.3,10180.25,10195.15,-1.45,0.01,-1.59,-0.14
19/3/18,Monday,Crash,Crash,10215.35,10224.55,10075.3,10094.25,-1.19,0.09,-1.37,0.20
20/3/18,Tuesday,Rally,Rally,10051.55,10155.65,10049.1,10124.35,0.72,1.04,-0.02,-0.42
21/3/18,Wednesday,Crash,Rally-Crash,10181.95,10227.3,10132.95,10155.25,-0.26,0.45,-0.48,0.57
22/3/18,Thursday,Crash,Rally-Crash,10167.5,10207.85,10105.4,10114.75,-0.52,0.40,-0.61,0.12
